Date,Employee,Attendance,Status,Late_Minutes,Fine
2023-01-01,Person_1,09:01-16:43,DANGER,1,50
2023-01-01,Person_3,09:17-17:04,DANGER,17,100
2023-01-01,Person_4,09:02-17:03,DANGER,2,50
2023-01-01,Person_7,09:20-16:49,DANGER,20,100
2023-01-01,Person_8,09:13-16:44,DANGER,13,50
2023-01-01,Person_12,09:05-17:14,DANGER,5,50
2023-01-01,Person_13,09:18-16:45,DANGER,18,100
2023-01-01,Person_16,09:04-17:14,DANGER,4,50
2023-01-01,Person_17,09:02-17:07,DANGER,2,50
2023-01-01,Person_21,09:12-17:14,DANGER,12,50
2023-01-01,Person_22,09:12-16:55,DANGER,12,50
2023-01-01,Person_24,09:14-17:03,DANGER,14,50
2023-01-01,Person_25,09:01-16:52,DANGER,1,50
2023-01-01,Person_26,09:13-16:52,DANGER,13,50
2023-01-01,Person_30,09:33-17:14,DANGER,33,200
2023-01-01,Person_33,09:05-16:57,DANGER,5,50
2023-01-01,Person_35,09:12-17:00,DANGER,12,50
2023-01-01,Person_39,09:12-16:48,DANGER,12,50
2023-01-01,Person_42,09:16-17:02,DANGER,16,100
2023-01-01,Person_43,09:16-17:14,DANGER,16,100
2023-01-01,Person_44,09:08-16:40,DANGER,8,50
2023-01-01,Person_47,09:18-17:08,DANGER,18,100
2023-01-01,Person_48,09:09-16:54,DANGER,9,50
2023-01-01,Person_51,09:01-16:49,DANGER,1,50
2023-01-01,Person_52,09:12-16:58,DANGER,12,50
2023-01-01,Person_53,09:23-16:50,DANGER,23,100
2023-01-01,Person_56,09:36-16:41,DANGER,36,200
2023-01-01,Person_57,09:21-17:04,DANGER,21,100
2023-01-01,Person_60,09:04-17:08,DANGER,4,50
2023-01-01,Person_61,09:13-17:09,DANGER,13,50
2023-01-01,Person_65,09:05-17:02,DANGER,5,50
2023-01-01,Person_66,09:04-17:04,DANGER,4,50
2023-01-01,Person_67,09:01-17:06,DANGER,1,50
2023-01-01,Person_69,09:13-16:48,DANGER,13,50
2023-01-01,Person_70,09:06-17:20,DANGER,6,50
2023-01-01,Person_72,09:01-17:13,DANGER,1,50
2023-01-01,Person_73,09:02-17:10,DANGER,2,50
2023-01-01,Person_74,09:09-17:03,DANGER,9,50
2023-01-01,Person_75,09:21-16:41,DANGER,21,100
2023-01-01,Person_78,09:11-17:00,DANGER,11,50
2023-01-01,Person_79,09:09-17:10,DANGER,9,50
2023-01-01,Person_81,09:05-17:07,DANGER,5,50
2023-01-01,Person_84,09:20-17:03,DANGER,20,100
2023-01-01,Person_86,09:07-17:09,DANGER,7,50
2023-01-01,Person_87,09:05-16:24,DANGER,5,50
2023-01-01,Person_88,09:20-16:55,DANGER,20,100
2023-01-01,Person_89,09:06-16:50,DANGER,6,50
2023-01-01,Person_91,09:03-17:05,DANGER,3,50
2023-01-01,Person_92,09:09-17:11,DANGER,9,50
2023-01-01,Person_95,09:13-16:54,DANGER,13,50
2023-01-01,Person_96,09:10-17:16,DANGER,10,50
2023-01-01,Person_97,09:06-16:45,DANGER,6,50
2023-01-01,Person_99,09:17-17:22,DANGER,17,100
2023-01-02,Person_3,09:20-16:38,DANGER,20,100
2023-01-02,Person_4,09:16-17:12,DANGER,16,100
2023-01-02,Person_6,09:02-17:17,DANGER,2,50
2023-01-02,Person_12,09:19-17:19,DANGER,19,100
2023-01-02,Person_13,09:17-16:44,DANGER,17,100
2023-01-02,Person_14,09:04-16:58,DANGER,4,50
2023-01-02,Person_15,09:08-16:50,DANGER,8,50
2023-01-02,Person_16,09:10-17:06,DANGER,10,50
2023-01-02,Person_17,09:42-16:59,DANGER,42,200
2023-01-02,Person_20,09:08-16:54,DANGER,8,50
2023-01-02,Person_22,09:16-17:21,DANGER,16,100
2023-01-02,Person_23,09:07-17:09,DANGER,7,50
2023-01-02,Person_24,09:01-17:13,DANGER,1,50
2023-01-02,Person_25,09:06-16:51,DANGER,6,50
2023-01-02,Person_26,09:15-16:51,DANGER,15,50
2023-01-02,Person_28,09:02-16:54,DANGER,2,50
2023-01-02,Person_30,09:19-17:14,DANGER,19,100
2023-01-02,Person_33,09:02-16:52,DANGER,2,50
2023-01-02,Person_34,09:15-16:56,DANGER,15,50
2023-01-02,Person_35,09:17-16:52,DANGER,17,100
2023-01-02,Person_38,09:23-16:50,DANGER,23,100
2023-01-02,Person_39,09:08-16:54,DANGER,8,50
2023-01-02,Person_44,09:21-16:33,DANGER,21,100
2023-01-02,Person_46,09:13-17:01,DANGER,13,50
2023-01-02,Person_48,09:10-17:16,DANGER,10,50
2023-01-02,Person_52,09:11-16:58,DANGER,11,50
2023-01-02,Person_53,09:12-16:52,DANGER,12,50
