Date,Employee,Attendance,Status,Late_Minutes,Fine
2023-01-01,Person_0,08:43-16:42,SAFE,0,0
2023-01-01,Person_2,08:48-16:42,SAFE,0,0
2023-01-01,Person_5,08:49-16:51,SAFE,0,0
2023-01-01,Person_6,08:55-17:13,SAFE,0,0
2023-01-01,Person_9,08:54-16:52,SAFE,0,0
2023-01-01,Person_10,08:38-17:10,SAFE,0,0
2023-01-01,Person_11,08:44-17:01,SAFE,0,0
2023-01-01,Person_14,08:51-16:45,SAFE,0,0
2023-01-01,Person_15,08:46-17:14,SAFE,0,0
2023-01-01,Person_18,08:46-17:06,SAFE,0,0
2023-01-01,Person_19,08:52-16:39,SAFE,0,0
2023-01-01,Person_20,08:58-16:51,SAFE,0,0
2023-01-01,Person_23,08:52-17:08,SAFE,0,0
2023-01-01,Person_27,08:44-16:59,SAFE,0,0
2023-01-01,Person_28,08:55-17:10,SAFE,0,0
2023-01-01,Person_29,08:53-17:15,SAFE,0,0
2023-01-01,Person_31,08:46-16:58,SAFE,0,0
2023-01-01,Person_32,08:51-16:50,SAFE,0,0
2023-01-01,Person_34,08:54-16:56,SAFE,0,0
2023-01-01,Person_36,08:38-17:08,SAFE,0,0
2023-01-01,Person_37,08:57-17:11,SAFE,0,0
2023-01-01,Person_38,08:56-16:37,SAFE,0,0
2023-01-01,Person_40,08:49-16:55,SAFE,0,0
2023-01-01,Person_41,08:57-16:39,SAFE,0,0
2023-01-01,Person_45,08:52-16:30,SAFE,0,0
2023-01-01,Person_46,08:47-16:55,SAFE,0,0
2023-01-01,Person_49,08:35-17:13,SAFE,0,0
2023-01-01,Person_50,08:47-16:47,SAFE,0,0
2023-01-01,Person_54,08:55-17:14,SAFE,0,0
2023-01-01,Person_55,08:46-16:53,SAFE,0,0
2023-01-01,Person_58,08:55-16:57,SAFE,0,0
2023-01-01,Person_59,08:55-17:10,SAFE,0,0
2023-01-01,Person_62,08:49-16:46,SAFE,0,0
2023-01-01,Person_63,08:34-16:42,SAFE,0,0
2023-01-01,Person_64,08:56-17:03,SAFE,0,0
2023-01-01,Person_68,08:48-17:07,SAFE,0,0
2023-01-01,Person_71,08:41-17:13,SAFE,0,0
2023-01-01,Person_76,08:19-16:48,SAFE,0,0
2023-01-01,Person_77,08:52-17:02,SAFE,0,0
2023-01-01,Person_80,08:31-17:25,SAFE,0,0
2023-01-01,Person_82,08:30-16:47,SAFE,0,0
2023-01-01,Person_83,08:58-16:49,SAFE,0,0
2023-01-01,Person_85,08:41-17:15,SAFE,0,0
2023-01-01,Person_90,08:50-17:12,SAFE,0,0
2023-01-01,Person_93,08:45-16:46,SAFE,0,0
2023-01-01,Person_94,08:57-17:03,SAFE,0,0
2023-01-01,Person_98,08:50-17:10,SAFE,0,0
2023-01-02,Person_0,08:44-16:42,SAFE,0,0
2023-01-02,Person_1,08:56-17:07,SAFE,0,0
2023-01-02,Person_2,08:45-16:54,SAFE,0,0
2023-01-02,Person_5,08:46-16:52,SAFE,0,0
2023-01-02,Person_7,08:48-16:41,SAFE,0,0
2023-01-02,Person_8,08:55-16:43,SAFE,0,0
2023-01-02,Person_9,08:40-17:08,SAFE,0,0
2023-01-02,Person_10,08:56-17:02,SAFE,0,0
2023-01-02,Person_11,08:58-17:13,SAFE,0,0
